Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies*,82,19855,37.7,86.5,.436,5.7,17.1,.334,32.0,69.3,.461,20.5,27.2,.754,13.0,33.7,46.7,22.5,8.4,6.4,17.0,26.2,101.6
2,San Antonio Spurs*,82,19805,38.1,87.9,.433,4.1,12.1,.339,34.0,75.8,.449,19.4,26.2,.740,12.1,33.1,45.2,18.3,8.2,4.7,15.6,23.4,99.6
3,Detroit Pistons*,82,19830,40.7,90.0,.452,4.6,14.1,.325,36.1,75.9,.476,17.2,23.4,.736,13.3,33.5,46.7,21.5,6.7,4.0,16.0,24.1,103.1
4,Houston Rockets,82,19830,37.2,86.8,.429,7.4,20.1,.369,29.8,66.6,.447,21.4,29.4,.731,12.0,34.1,46.1,22.6,8.0,5.1,15.0,23.6,103.3
5,Indiana Pacers*,82,19730,38.4,88.2,.435,5.0,14.7,.343,33.4,73.5,.454,20.5,27.9,.733,13.1,32.8,45.9,20.6,9.0,5.4,15.1,24.4,102.4
6,New Jersey Nets*,82,19780,36.9,84.0,.439,6.3,18.0,.348,30.6,66.0,.464,22.3,30.1,.741,10.6,35.1,45.7,22.2,8.0,4.4,15.9,25.5,102.4
7,Dallas Mavericks*,82,19880,38.5,86.9,.443,5.6,15.4,.361,33.0,71.5,.461,22.4,29.8,.752,12.9,30.4,43.2,19.7,7.4,5.5,15.8,26.9,105.0
8,Minnesota Timberwolves,82,19855,38.8,88.2,.441,6.1,16.7,.364,32.7,71.4,.459,20.8,28.2,.736,13.3,32.8,46.1,21.2,7.3,5.1,15.5,23.6,104.5
9,Utah Jazz,82,19880,37.5,83.5,.449,6.7,17.8,.378,30.8,65.7,.469,25.3,33.9,.746,12.0,30.7,42.7,20.8,9.1,6.4,16.0,28.9,107.0
10,Cleveland Cavaliers*,82,19830,39.7,87.3,.455,6.2,17.4,.356,33.6,69.9,.480,19.7,26.5,.742,10.9,32.6,43.5,22.5,7.3,4.8,14.5,24.8,105.4
11,Los Angeles Clippers*,82,19805,38.1,87.7,.435,6.3,18.1,.347,31.9,69.6,.458,21.0,28.7,.732,11.3,32.1,43.5,23.3,7.5,4.7,13.9,23.5,103.6
12,New Orleans/Oklahoma City Hornets,82,19805,39.3,85.6,.459,7.4,20.2,.367,31.8,65.4,.487,20.8,27.4,.760,11.7,34.0,45.7,21.6,7.2,5.9,16.3,26.0,106.8
13,Orlando Magic,82,19905,39.2,86.4,.454,6.3,17.6,.357,32.9,68.8,.478,22.8,31.2,.732,12.4,30.6,43.0,22.4,8.4,5.3,15.0,25.9,107.5
14,Miami Heat*,82,19755,38.1,86.6,.440,6.5,18.0,.361,31.6,68.6,.461,21.8,29.5,.739,11.0,31.3,42.3,21.2,7.4,4.0,14.1,25.7,104.5
15,Los Angeles Lakers*,82,19855,39.2,87.1,.450,6.3,17.8,.353,32.9,69.2,.475,21.1,28.2,.747,11.9,31.9,43.8,23.0,7.1,4.7,15.4,25.6,105.7
16,Chicago Bulls*,82,19905,36.0,84.5,.426,6.5,18.5,.351,29.5,66.0,.447,24.9,32.1,.777,11.4,33.0,44.4,21.4,7.9,5.4,15.9,24.4,103.4
17,Sacramento Kings*,82,19830,40.2,88.5,.454,6.1,17.3,.351,34.1,71.2,.479,18.6,24.9,.747,12.5,32.9,45.5,22.8,8.6,5.3,15.8,24.8,105.0
18,Portland Trail Blazers,82,19730,42.1,89.8,.468,6.9,18.1,.381,35.2,71.7,.491,20.8,27.4,.760,14.3,33.9,48.2,24.1,8.2,5.6,14.7,23.7,111.9
19,Milwaukee Bucks*,82,19855,39.4,84.6,.466,6.5,18.4,.354,32.9,66.2,.497,22.1,29.6,.747,11.0,32.8,43.8,24.5,8.0,5.5,15.7,25.7,107.4
