Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
20,Boston Celtics,82,19880,38.6,84.6,.456,5.8,16.6,.353,32.7,68.1,.481,23.9,32.2,.743,11.9,31.0,42.9,23.1,9.0,5.3,15.8,24.1,106.9
21,Washington Wizards*,82,19830,39.5,85.0,.465,6.6,18.1,.363,33.0,66.9,.493,21.7,29.1,.745,12.6,32.5,45.1,23.2,7.0,4.5,17.4,27.2,107.3
22,Golden State Warriors,82,19830,39.5,86.6,.457,6.1,17.3,.351,33.4,69.3,.483,21.1,28.4,.743,12.8,34.5,47.3,23.7,7.5,5.3,16.3,24.9,106.2
23,Denver Nuggets*,82,19930,39.4,86.7,.454,6.8,19.0,.358,32.6,67.7,.481,19.7,26.8,.736,12.4,31.7,44.0,25.1,7.5,5.6,17.0,24.5,105.2
24,Charlotte Bobcats,82,19905,39.6,82.7,.478,5.9,16.6,.356,33.6,66.1,.509,21.7,29.5,.737,12.1,34.4,46.5,24.3,7.4,5.7,18.9,24.9,106.7
25,Philadelphia 76ers,82,19905,40.3,87.1,.463,6.5,18.5,.351,33.9,68.7,.493,20.9,27.5,.762,12.7,33.0,45.6,24.5,8.2,5.0,16.5,24.7,108.1
26,Atlanta Hawks,82,19880,41.1,85.9,.478,5.9,16.1,.368,35.1,69.8,.503,23.6,31.7,.745,13.1,31.2,44.3,22.5,8.0,5.6,16.4,24.8,111.6
27,New York Knicks,82,19930,39.4,84.4,.467,7.5,19.8,.378,31.9,64.5,.494,24.8,32.9,.753,11.7,30.2,42.0,23.1,8.9,5.8,15.3,27.6,111.0
28,Phoenix Suns*,82,19955,40.7,89.6,.454,6.5,17.9,.363,34.2,71.8,.477,17.9,24.5,.731,12.9,34.3,47.2,19.4,7.4,3.5,15.3,20.4,105.8
29,Toronto Raptors,82,19955,41.8,85.2,.491,6.7,18.0,.373,35.1,67.2,.522,22.4,29.9,.748,11.0,33.5,44.6,25.6,6.8,4.7,15.4,24.2,112.7
30,Seattle SuperSonics,82,19830,42.3,87.1,.485,7.2,19.1,.375,35.1,68.0,.516,22.6,29.8,.760,13.2,30.6,43.8,26.1,7.9,5.3,15.8,24.0,114.4
