Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,New York Knicks*,82,19905,35.7,85.7,.417,6.2,17.6,.352,29.5,68.1,.434,20.6,28.0,.733,12.1,33.6,45.8,21.9,8.3,4.7,16.9,24.4,98.2
2,Miami Heat*,82,19880,37.4,86.8,.431,5.0,15.1,.331,32.5,71.7,.452,18.6,25.2,.737,12.7,35.0,47.7,19.7,8.3,5.9,17.7,25.3,98.5
3,San Antonio Spurs*,82,19830,38.3,91.5,.419,4.6,14.1,.329,33.7,77.4,.435,16.7,22.5,.741,13.1,32.9,45.9,21.8,8.1,5.8,15.0,26.3,98.0
4,Charlotte Hornets*,82,19880,37.4,87.8,.426,5.3,14.6,.360,32.1,73.2,.439,19.5,25.8,.756,12.0,32.9,44.9,23.6,8.3,5.1,16.3,23.9,99.5
5,Philadelphia 76ers*,82,19855,38.3,89.4,.429,5.7,16.7,.342,32.6,72.7,.448,16.6,22.1,.749,13.1,31.6,44.7,23.6,9.0,6.1,16.8,25.9,98.9
6,Portland Trail Blazers*,82,19780,38.4,87.6,.438,5.5,15.0,.368,32.8,72.6,.452,19.5,26.3,.744,12.9,30.5,43.3,23.8,8.8,4.4,16.6,23.7,101.8
7,Phoenix Suns*,82,19805,36.3,83.6,.435,4.3,12.2,.349,32.1,71.4,.449,21.1,27.7,.761,11.7,33.7,45.4,21.5,8.9,5.4,18.6,23.7,98.0
8,Utah Jazz*,82,19780,36.1,82.1,.439,5.5,16.1,.343,30.5,66.0,.462,24.7,32.3,.765,11.8,29.5,41.3,21.1,9.4,6.1,17.8,27.1,102.4
9,Indiana Pacers*,82,19980,38.0,89.8,.423,5.1,15.1,.336,32.9,74.7,.441,21.1,27.9,.758,14.0,33.5,47.5,22.8,7.9,5.2,15.0,25.3,102.2
10,Houston Rockets,82,19830,40.4,90.1,.449,4.8,13.6,.354,35.6,76.6,.465,18.5,24.9,.744,13.2,32.4,45.6,23.2,8.1,5.4,14.6,23.7,104.2
11,Los Angeles Clippers,82,20030,40.0,90.9,.440,4.7,14.4,.329,35.3,76.5,.461,19.7,26.5,.743,13.9,32.6,46.5,23.9,8.5,5.5,14.0,24.0,104.5
12,Toronto Raptors*,82,19955,39.8,88.9,.447,5.0,13.8,.363,34.8,75.1,.463,18.8,25.0,.754,12.2,33.2,45.5,22.4,7.4,5.8,15.3,23.7,103.4
13,Sacramento Kings*,82,20080,39.1,90.4,.432,5.1,14.3,.355,34.0,76.1,.447,16.3,21.8,.749,14.2,33.5,47.7,23.0,8.4,6.0,16.9,22.4,99.6
14,Minnesota Timberwolves*,82,19830,39.2,86.8,.452,4.6,13.1,.351,34.6,73.7,.470,20.7,28.5,.724,12.7,33.0,45.8,24.2,7.7,4.7,16.4,21.8,103.7
15,Atlanta Hawks,82,19730,38.7,87.4,.442,5.2,14.3,.367,33.4,73.1,.457,21.8,28.5,.765,13.6,33.5,47.1,23.0,9.2,6.8,16.0,22.4,104.3
16,Dallas Mavericks*,82,19805,38.2,87.0,.439,5.0,14.8,.334,33.2,72.2,.460,21.2,29.0,.731,13.9,34.1,48.0,23.1,8.1,4.9,16.6,24.0,102.6
17,Cleveland Cavaliers,82,19830,38.8,87.3,.445,5.6,15.3,.365,33.2,72.0,.462,21.7,28.2,.768,13.1,31.8,45.0,24.9,9.2,7.2,16.3,24.0,104.9
18,Orlando Magic*,82,19955,36.5,83.9,.435,4.7,13.7,.346,31.8,70.2,.453,24.3,33.1,.735,13.7,33.7,47.4,23.1,9.0,5.7,18.2,25.1,102.1
19,Chicago Bulls,82,19855,40.4,85.7,.472,4.7,13.2,.356,35.7,72.5,.493,21.7,29.8,.730,13.0,34.5,47.5,26.1,8.6,5.8,16.5,23.7,107.3
20,Boston Celtics,82,19830,38.4,83.6,.459,5.6,15.3,.368,32.8,68.3,.480,21.4,28.5,.750,11.6,34.6,46.3,24.6,8.5,5.8,18.3,24.9,103.7
21,Milwaukee Bucks*,82,19780,38.3,87.3,.439,5.8,16.4,.352,32.6,70.8,.460,22.1,28.8,.768,13.4,32.8,46.1,24.8,7.8,4.6,16.8,23.4,104.6
22,New Jersey Nets,82,19730,38.9,85.5,.455,5.7,15.7,.360,33.2,69.7,.477,22.0,29.6,.746,13.3,34.7,48.0,24.4,8.2,6.9,17.3,23.9,105.5
23,Los Angeles Lakers*,82,19905,39.2,89.6,.438,5.4,15.3,.354,33.8,74.2,.455,21.0,27.8,.754,12.9,31.6,44.5,21.8,8.1,4.3,14.1,26.3,104.8
24,Seattle SuperSonics,82,19805,40.7,89.8,.453,6.2,17.9,.349,34.5,71.9,.480,17.9,24.1,.742,13.8,32.2,46.0,25.9,8.6,6.7,16.3,24.0,105.6
25,Detroit Pistons,82,19855,38.0,87.4,.434,5.5,15.7,.348,32.5,71.7,.453,20.4,27.7,.736,12.9,34.1,47.0,23.7,8.5,5.1,16.3,26.3,101.8
26,Vancouver Grizzlies,82,19780,41.6,89.9,.463,5.1,14.2,.362,36.4,75.7,.482,17.4,23.8,.732,13.9,33.5,47.5,25.6,9.4,6.3,16.1,23.4,105.8
27,Denver Nuggets,82,19780,40.4,90.5,.446,5.4,15.3,.356,34.9,75.3,.464,20.2,26.8,.753,13.3,34.6,47.9,26.7,7.7,6.5,14.1,23.0,106.3
28,Washington Wizards,82,19680,40.8,86.8,.470,5.7,14.4,.396,35.1,72.4,.485,20.5,27.5,.747,12.3,31.7,44.0,25.0,9.1,6.7,16.2,26.0,107.8
29,Golden State Warriors,82,19780,41.0,86.9,.472,5.7,14.9,.379,35.3,72.0,.491,19.7,25.9,.760,13.4,34.7,48.1,26.4,9.3,6.4,17.4,22.8,107.4
