Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
13,Seattle SuperSonics*,82,19755,40.5,88.2,.459,6.5,18.2,.357,34.0,70.0,.486,22.0,29.4,.749,12.9,30.1,42.9,23.5,7.0,5.4,15.0,26.9,109.6
14,Dallas Mavericks*,82,19730,38.6,88.1,.438,5.9,17.9,.330,32.7,70.1,.466,21.0,27.9,.754,14.1,32.4,46.4,22.5,7.7,5.2,16.8,24.9,104.1
15,Portland Trail Blazers,82,19730,41.4,92.7,.447,6.0,17.4,.343,35.4,75.3,.471,18.9,25.1,.755,15.6,31.3,46.9,26.0,9.5,5.6,14.9,22.6,107.7
16,Utah Jazz,82,19780,37.5,81.9,.458,6.7,17.8,.375,30.8,64.1,.481,27.8,36.4,.764,11.8,30.6,42.4,21.9,8.9,6.5,16.2,28.3,109.5
17,Denver Nuggets*,82,19755,38.3,85.8,.447,6.0,17.4,.345,32.3,68.4,.472,21.2,28.4,.746,12.7,31.7,44.4,23.1,8.3,5.9,17.4,25.5,103.9
18,New York Knicks,82,19880,40.0,85.9,.465,6.2,17.0,.364,33.8,68.9,.490,22.8,30.1,.756,12.9,32.6,45.5,22.6,8.0,5.2,15.9,23.1,108.9
19,Philadelphia 76ers*,82,19855,37.3,84.3,.443,7.2,19.9,.362,30.1,64.4,.468,22.5,29.3,.767,12.1,33.9,46.0,23.9,8.7,4.9,17.7,24.6,104.3
20,Milwaukee Bucks,82,19780,41.4,89.3,.464,6.2,18.0,.343,35.2,71.2,.494,20.8,27.0,.771,12.5,32.3,44.7,26.1,8.2,4.9,14.3,26.1,109.8
21,Charlotte Bobcats,82,19880,39.4,85.1,.463,5.8,16.0,.361,33.7,69.1,.487,22.9,29.8,.767,12.5,33.8,46.4,23.1,8.2,5.8,17.0,24.3,107.5
22,Boston Celtics*,82,19880,38.3,86.2,.444,6.3,17.7,.356,32.0,68.5,.467,23.6,31.4,.753,13.4,31.4,44.9,24.1,9.2,5.2,16.5,25.1,106.6
23,Washington Wizards*,82,19780,40.3,87.8,.459,6.8,18.6,.364,33.5,69.1,.485,20.1,26.5,.762,13.2,32.6,45.9,24.5,7.6,5.4,17.0,25.9,107.5
24,Golden State Warriors,82,19905,40.5,88.4,.458,5.8,16.0,.363,34.7,72.4,.479,20.1,27.0,.745,13.7,35.8,49.5,24.0,7.4,5.4,16.3,23.0,106.9
25,Toronto Raptors,82,19805,41.0,87.7,.467,5.7,16.0,.356,35.3,71.7,.492,21.0,28.3,.744,13.0,35.6,48.5,23.7,6.6,4.7,15.5,23.5,108.7
26,Sacramento Kings*,82,19855,41.4,90.2,.459,6.1,17.1,.357,35.3,73.1,.483,19.3,26.1,.738,14.3,32.9,47.2,22.9,8.1,4.7,15.6,22.9,108.2
27,Los Angeles Lakers,82,19780,42.0,92.5,.453,7.3,20.3,.361,34.6,72.2,.479,20.1,25.8,.780,13.7,32.8,46.4,26.7,8.4,5.6,12.9,24.2,111.4
28,Orlando Magic,82,19705,39.6,87.8,.451,5.7,16.6,.343,33.9,71.2,.477,22.4,29.6,.754,13.2,31.2,44.4,22.5,9.0,4.6,15.3,24.7,107.3
29,Atlanta Hawks,82,19855,40.3,84.5,.476,6.2,16.3,.379,34.1,68.2,.500,24.4,31.7,.770,11.9,32.8,44.8,23.8,9.5,6.4,16.0,23.5,111.1
30,Phoenix Suns*,82,19780,42.1,94.7,.445,6.2,18.7,.335,35.8,76.0,.472,16.7,22.5,.744,15.6,32.3,47.9,22.0,7.9,4.3,14.3,22.1,107.1
