Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,San Antonio Spurs*,82,19805,37.0,86.7,.426,4.4,12.0,.367,32.6,74.7,.436,20.5,26.6,.768,12.2,32.7,44.9,18.9,8.1,5.7,16.9,25.8,98.8
2,Detroit Pistons*,82,19955,38.5,89.6,.430,5.7,16.7,.338,32.8,72.9,.451,18.5,24.7,.751,12.8,32.0,44.8,22.3,8.4,5.1,15.7,25.5,101.2
3,Houston Rockets*,82,19855,37.0,87.5,.423,6.2,18.3,.338,30.9,69.2,.446,21.4,28.8,.742,12.1,33.3,45.4,23.1,8.3,4.6,14.8,24.1,101.7
4,Memphis Grizzlies*,82,19705,37.0,85.6,.432,5.9,16.7,.351,31.1,68.8,.452,23.1,30.0,.771,13.7,32.9,46.5,22.5,8.4,6.6,17.9,25.5,102.9
5,Indiana Pacers*,82,19905,38.3,86.9,.440,5.4,14.8,.365,32.9,72.1,.456,22.6,30.5,.743,13.4,33.4,46.9,21.3,7.6,5.5,15.8,26.0,104.6
6,New Jersey Nets*,82,19905,36.7,83.5,.439,6.6,17.8,.368,30.1,65.6,.459,23.2,31.2,.744,11.8,33.9,45.7,22.5,8.1,5.4,17.4,25.5,103.1
7,Chicago Bulls*,82,19830,36.2,85.7,.422,5.4,16.3,.334,30.7,69.4,.443,22.5,30.2,.744,12.8,33.0,45.9,22.5,9.0,5.7,16.7,25.1,100.3
8,Miami Heat*,82,19980,37.9,88.7,.427,5.8,16.8,.348,32.1,71.9,.446,21.4,28.2,.760,12.2,31.7,43.9,21.4,8.1,3.5,14.4,26.7,103.1
9,Minnesota Timberwolves,82,19755,40.5,92.4,.438,6.4,17.6,.363,34.1,74.8,.456,19.3,25.6,.752,14.1,32.2,46.2,24.3,7.4,4.4,13.1,22.2,106.6
10,New Orleans Hornets,82,19930,39.2,86.6,.452,6.8,18.5,.367,32.4,68.1,.475,22.6,29.2,.775,13.0,34.2,47.2,24.0,8.7,6.2,16.1,23.8,107.7
11,Cleveland Cavaliers,82,19855,39.2,86.8,.452,5.7,15.1,.376,33.6,71.7,.468,21.6,28.8,.750,12.6,31.3,43.9,23.4,7.4,5.6,16.3,23.8,105.7
12,Los Angeles Clippers,82,20030,39.5,89.0,.444,6.5,17.7,.368,32.9,71.3,.462,20.9,27.4,.762,13.3,30.3,43.6,23.3,8.6,5.3,15.1,26.0,106.4
