Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
20,New York Knicks,82,19855,39.4,86.3,.457,4.8,14.0,.340,34.7,72.3,.480,22.5,29.2,.771,12.5,34.8,47.3,23.1,8.4,4.1,15.7,21.7,106.2
21,Atlanta Hawks,82,19905,40.0,91.6,.437,5.9,16.5,.359,34.1,75.1,.454,20.3,26.7,.760,14.2,32.1,46.3,23.5,9.8,5.4,14.2,22.1,106.1
22,Los Angeles Clippers,82,19755,40.4,90.3,.447,6.0,16.5,.365,34.3,73.7,.466,20.0,25.9,.774,13.9,32.7,46.6,24.5,8.7,5.6,15.3,24.5,106.8
23,Los Angeles Lakers*,82,19930,38.8,87.6,.443,6.1,15.9,.380,32.7,71.6,.456,21.1,27.8,.760,12.5,32.5,45.0,22.8,8.4,4.0,15.5,24.9,104.7
24,Orlando Magic*,82,19805,39.1,85.9,.455,5.3,15.8,.334,33.9,70.2,.483,21.5,28.0,.767,12.6,33.8,46.4,23.9,8.4,5.4,17.5,23.7,105.0
25,Milwaukee Bucks*,82,19905,40.6,88.6,.458,6.4,17.0,.375,34.2,71.6,.478,21.0,28.2,.745,13.6,33.9,47.5,25.2,7.2,4.4,15.8,22.5,108.6
26,Chicago Bulls,82,19930,38.5,87.8,.439,5.5,17.2,.323,33.0,70.6,.467,23.1,30.8,.749,14.4,33.1,47.5,25.1,9.9,5.3,15.5,23.1,105.6
27,Memphis Grizzlies,82,19930,41.9,91.1,.460,5.6,15.4,.363,36.3,75.6,.480,17.9,23.6,.759,14.6,33.2,47.8,25.9,9.3,5.6,15.8,23.2,107.3
28,Cleveland Cavaliers,82,19830,39.6,87.4,.453,5.5,15.4,.358,34.1,72.0,.473,22.0,28.6,.772,12.0,32.1,44.1,25.4,10.3,6.4,15.0,22.0,106.7
29,Golden State Warriors,82,19755,41.8,92.5,.452,5.6,15.2,.372,36.1,77.3,.467,20.3,26.9,.756,15.5,30.8,46.3,24.9,9.2,6.3,14.5,25.0,109.5
