Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Detroit Pistons*,82,19905,38.1,87.1,.438,4.0,11.7,.344,34.1,75.4,.452,19.6,26.3,.746,11.9,35.1,47.1,20.9,7.9,4.9,16.0,26.5,99.9
2,New Jersey Nets*,82,19755,36.6,85.7,.427,5.6,15.7,.359,30.9,70.0,.442,19.3,25.8,.749,12.4,32.7,45.0,21.3,9.2,5.6,18.0,24.9,98.1
3,San Antonio Spurs*,82,19830,38.5,90.1,.427,4.8,14.0,.339,33.7,76.1,.443,17.9,23.4,.768,13.8,31.2,45.1,21.0,8.9,5.7,16.6,25.7,99.7
4,Miami Heat,82,19830,37.4,85.5,.437,5.6,15.8,.353,31.8,69.7,.456,22.0,29.3,.751,12.0,35.6,47.7,20.4,8.6,6.0,16.2,23.0,102.4
5,New Orleans Hornets*,82,19905,38.6,88.0,.438,4.6,13.5,.338,34.0,74.4,.457,19.9,26.0,.766,12.3,32.0,44.2,22.0,8.7,5.8,16.1,23.7,101.6
6,Seattle SuperSonics,82,19855,39.4,88.2,.447,6.5,18.8,.344,32.9,69.4,.475,18.5,25.0,.742,12.9,33.8,46.7,23.4,6.9,5.6,16.6,22.9,103.9
7,Utah Jazz*,82,19780,37.4,86.2,.434,5.9,17.0,.349,31.4,69.2,.454,22.1,29.1,.759,13.7,28.8,42.5,21.8,9.8,5.8,17.7,26.5,102.8
8,Houston Rockets,82,19930,39.2,90.6,.433,5.2,15.1,.347,34.0,75.5,.450,19.0,24.5,.775,13.3,31.9,45.2,22.8,9.0,5.2,14.7,24.3,102.6
9,Denver Nuggets,82,19730,36.0,81.3,.443,5.6,15.2,.370,30.4,66.2,.460,23.6,31.2,.757,11.5,32.6,44.2,23.6,9.9,7.2,18.8,23.9,101.3
10,Washington Wizards,82,19830,39.5,89.3,.442,6.2,17.1,.362,33.3,72.3,.461,19.0,24.6,.771,13.0,33.6,46.6,24.4,8.4,4.9,16.1,24.8,104.1
11,Portland Trail Blazers*,82,19855,39.8,88.4,.450,5.9,17.4,.341,33.9,71.1,.476,17.1,22.4,.764,12.3,31.0,43.3,25.2,9.2,5.3,17.2,22.6,102.6
12,Boston Celtics*,82,19830,37.3,85.9,.435,6.2,18.6,.331,31.2,67.3,.464,20.8,27.8,.749,12.5,36.6,49.1,24.3,8.2,4.9,17.5,23.9,101.6
13,Indiana Pacers*,82,19905,37.7,88.1,.428,5.4,15.8,.340,32.3,72.3,.447,20.1,26.2,.767,13.2,32.4,45.6,22.3,8.2,6.8,16.6,25.3,100.8
14,Phoenix Suns*,82,19805,38.6,88.1,.438,5.8,18.0,.320,32.8,70.1,.468,19.6,25.6,.766,13.6,32.9,46.6,24.1,8.5,6.0,17.3,23.3,102.5
15,Philadelphia 76ers*,82,19855,38.0,84.1,.452,6.0,16.9,.354,32.0,67.2,.476,20.5,26.9,.760,12.0,31.7,43.7,23.9,8.4,6.9,18.6,24.9,102.5
16,Dallas Mavericks*,82,19780,38.4,87.7,.438,6.3,18.4,.340,32.1,69.3,.463,19.4,26.6,.727,13.7,35.2,48.9,23.4,7.2,4.2,17.3,22.9,102.3
17,Sacramento Kings*,82,19830,38.0,90.4,.420,4.7,14.8,.320,33.2,75.6,.439,18.5,24.9,.741,14.5,33.2,47.7,22.3,8.7,4.5,16.0,20.7,99.1
18,Minnesota Timberwolves*,82,19805,39.6,90.6,.437,6.2,18.0,.347,33.4,72.6,.460,18.4,24.4,.752,12.8,32.2,45.1,24.7,7.5,5.3,14.7,22.2,103.8
19,Toronto Raptors,82,19805,41.0,88.9,.461,5.0,13.3,.375,36.0,75.6,.476,20.1,26.5,.759,13.2,35.1,48.2,23.3,8.1,5.5,15.2,23.0,107.0
